Experiment,Genotype,AllReversals_Length,AllReversals_Speed,AllReversals_Duration,ReversalOmegas_Length,ReversalOmegas_Speed,ReversalOmegas_Duration,PureReversals_Length,PureReversals_Speed,PureReversals_Duration,ForwardRuns_Speed,ForwardRuns_Duration,EventsPerAnimalPerMin_AllReversals,EventsPerAnimalPerMin_ReversalOmegas,EventsPerAnimalPerMin_PureReversals,EventsPerAnimalPerMin_LongReversals,EventsPerAnimalPerMin_ShortReversals,EventsPerAnimalPerMin_ForwardRuns,EventsPerAnimalPerMin_Pauses
HisClgapjunctionKD,gapjunctionKD_NOhis,0.349602460861206,0.155854791402817,3,0.502837896347046,0.157397270202637,8.66668701171875,0.497247487306595,0.158386781811714,3.66667175292969,0.210996568202972,10.6666564941406,1.2,0.2,0,0.4,0.8,1.6,0.2
,,0.497247487306595,0.158386781811714,3.66667175292969,0.966270685195923,0.188178926706314,4.66665649414062,0.251091122627258,0.0954224914312363,2,0.137577936053276,5.33332824707031,1.8,0.4,0.6,0.6,1.2,4.8,0.4
,,0.251091122627258,0.0954224914312363,2,0.806220233440399,0.188587635755539,5,0.174878761172295,0.0789431929588318,1.66668701171875,0.219668686389923,16.3333129882812,2.4,0,1,0.2,2.2,3.8,0.8
,,0.174878761172295,0.0789431929588318,1.66668701171875,0.180612534284592,0.122779749333858,3,0.0779739618301392,0.0679187476634979,1.33332824707031,0.161205589771271,6.99998474121094,1.2,0.4,0.6,0.4,1.2,3.2,0.4
,,0.0779739618301392,0.0679187476634979,1.33332824707031,0.141903340816498,0.0662823915481567,5.33331298828125,0.294302582740784,0.125007674098015,2,0.161757037043571,5.00001525878906,2,0.4,1,1,1,1.6,0.2
,,0.294302582740784,0.125007674098015,2,0.236090660095215,0.105168923735619,2.66665649414062,0.343834489583969,0.116946086287498,2.33332824707031,0.238836511969566,13.0000152587891,2,0.2,1.4,0.6,1.4,2.2,0.4
,,0.343834489583969,0.116946086287498,2.33332824707031,1.40322029590607,0.183796033263206,8.66665649414062,0.369349867105484,0.157091662287712,3,0.0321932733058929,5.33334350585938,1.6,0.4,0.2,0.8,0.8,2,0
,,0.675238490104675,0.156018644571304,4.33332824707031,0.162735164165497,0.0437194630503654,4.66665649414062,0.496917724609375,0.15453639626503,2.33331298828125,0.212517932057381,143.333343505859,2.4,1.2,1,1.4,1.4,2.6,0.4
,,0.369349867105484,0.157091662287712,3,0.466558814048767,0.105614244937897,7.33331298828125,0.355776160955429,0.124265789985657,2.66665649414062,0.239466726779938,2,0.8,0,0.2,0.8,0,0.8,0
,,0.749976515769958,0.151550889015198,5.66668701171875,0.0807910412549973,0.123371765017509,2.33331298828125,0.132626071572304,0.154825612902641,2.66668701171875,0.163856893777847,12.3333435058594,2.6,0.6,1,1.8,1,2.6,0.6
